# Character Base Growth Rates
# http://serenesforest.net/fire-emblem-fates/hoshidan-characters/growth-rates/

# Name      HP    STR   MAG   SKL   SPD   LCK   DEF   RES

# Shared

Avatar,     45,   45,   30,   40,   45,   45,   35,   25
Gunter,     15,   5,    0,    5,    0,    15,   5,    5
Felicia,    40,   10,   35,   30,   40,   55,   15,   35
Jakob,      50,   30,   15,   40,   35,   45,   25,   25
Kaze,       55,   40,   0,    45,   65,   20,   20,   35
Azura,      25,   50,   25,   60,   60,   40,   15,   35
Silas,      40,   45,   5,    50,   40,   40,   40,   25
Shura,      30,   25,   10,   20,   35,   30,   15,   35
Izana,      45,   15,   35,   55,   30,   45,   35,   35
Mozu,       30,   40,   5,    50,   55,   45,   35,   30

Kana,       30,   35,   30,   40,   45,   45,   25,  25
Shigure,    35,   45,   5,    45,   35,   25,   35,  25
Dwyer,      45,   45,   30,   20,   30,   30,   30,  35
Sophie,     35,   35,   10,   55,   50,   35,   25,  35
Midori,     45,   35,   5,    55,   35,   50,   30,  20

# Hoshido

Rinkah,     20,   25,   15,   50,   45,   35,   45,   20
Sakura,     45,   30,   50,   40,   40,   55,   30,   20
Hana,       25,   55,   10,   45,   55,   25,   20,   30
Subaki,     55,   30,   20,   50,   20,   25,   45,   5
Saizo,      40,   50,   45,   60,   30,   55,   45,   10
Orochi,     35,   5,    65,   50,   15,   35,   25,   45
Hinoka,     45,   45,   15,   40,   45,   40,   35,   40
Azama,      55,   50,   20,   40,   45,   40,   40,   20
Setsuna,    30,   20,   0,    30,   60,   30,   15,   40
Hayato,     50,   30,   40,   30,   45,   60,   40,   20
Oboro,      30,   40,   20,   40,   40,   40,   40,   30
Hinata,     55,   35,   0,    25,   15,   45,   45,   15
Takumi,     50,   35,   0,    60,   40,   45,   35,   20
Kagero,     30,   65,   0,    20,   50,   30,   25,   40
Reina,      40,   45,   5,    20,   45,   10,   20,   10
Kaden,      45,   40,   10,   25,   45,   50,   35,   40
Ryoma,      50,   45,   0,    50,   45,   40,   35,   25
Scarlet,    30,   45,   20,   40,   50,   40,   25,   20
Yukimura,   25,   25,   5,    40,   15,   30,   25,   30

Shiro,      50,   50,   0,    40,   35,   35,   45,  30
Kiragi,     45,   40,   0,    45,   50,   45,   40,  15
Asugi,      40,   45,   50,   55,   45,   50,   30,  20
Selkie,     35,   30,   15,   35,   55,   60,   30,  50
Hisame,     50,   40,   0,    40,   40,   25,   30,  20
Mitama,     45,   40,   35,   45,   50,   50,   30,  20
Caeldori,   55,   35,   15,   40,   40,   45,   35,  20
Rhajat,     40,   15,   60,   10,   50,   30,   25,  35
