# Character Max Stat Modifiers
# http://serenesforest.net/fire-emblem-fates/hoshidan-characters/maximum-stats/

# Name      STR   MAG   SKL   SPD   LCK   DEF   RES

# Shared

Gunter,     2,    0,    1,    -2,   0,    2,    -2
Felicia,    -2,   2,    0,    1,    0,    -1,   1
Jakob,      2,    -2,   2,    0,    -1,   0,    -1
Kaze,       -2,   0,    2,    3,    -2,   -1,   1
Azura,      0,    0,    1,    3,    0,    -3,   0
Silas,      1,    0,    2,    0,    -1,   0,    -1
Shura,      -1,   0,    -1,   3,    -1,   -2,   2
Izana,      0,    1,    1,    -2,   0,    0,    1
Mozu,       0,    0,    1,    1,    1,    0,    -2

# Hoshido

Rinkah,     -1,   0,    -2,   1,    0,    2,    0
Sakura,     0,    2,    -1,   1,    0,    -1,   0
Hana,       1,    0,    1,    2,    -1,   -3,   1
Subaki,     -1,   0,    2,    -2,   -1,   3,    -1
Saizo,      1,    0,    3,    -2,   0,    1,    -2
Orochi,     0,    3,    2,    -2,   -1,   -2,   1
Hinoka,     1,    -1,   -1,   1,    0,    -1,   2
Azama,      2,    -3,   0,    1,    0,    1,    0
Setsuna,    0,    0,    1,    3,    -1,   -1,   -1
Hayato,     0,    1,    -1,   2,    1,    -1,   -1
Oboro,      1,    -1,   1,    1,    -1,   1,    -1
Hinata,     1,    0,    -1,   -2,   0,    2,    0
Takumi,     1,    0,    3,    -2,   1,    0,    -2
Kagero,     3,    0,    -1,   -1,   0,    -1,   1
Reina,      2,    0,    0,    2,    -1    -2    -1
Kaden,      1,    0,    -3,   2,    1,    -2,   2
Ryoma,      1,    0,    2,    1,    1,    -2,   -2
Scarlet,    2,    0,    0,    1,    -1,   0,    -2
Yukimura,   -1,   0,    3,    -1,   0,    -1,   0
