# Avatar
# Name      M/F   Starting Class

Azura,      F,    Songstress
Gunter,     M,    Great Knight
Felicia,    F,    Maid
Jakob,      M,    Butler
Kaze,       M,    Ninja
Silas,      M,    Cavalier
Shura,      M,    Adventurer
Izana,      M,    Onmyoji
Mozu,       F,    Villager

# Hoshido

Rinkah,     F,    Oni Savage
Sakura,     F,    Shrine Maiden
Hana,       F,    Samurai
Subaki,     M,    Sky Knight
Saizo,      M,    Ninja
Orochi,     F,    Diviner
Hinoka,     F,    Sky Knight
Azama,      M,    Monk
Setsuna,    F,    Archer
Hayato,     M,    Diviner
Oboro,      F,    Spear Fighter
Hinata,     M,    Samurai
Takumi,     M,    Archer
Kagero,     F,    Ninja
Reina,      F,    Kinshi Knight
Kaden,      M,    Kitsune
Ryoma,      M,    Swordmaster
Scarlet,    F,    Wyvern Lord
Yukimura,   M,    Mechanist
